gene_id,symbol,tier,er_hits,bc_hits,log2FC,scored,class,abs_lfc
ENSG00000203837,PNLIPRP3,3,0,0,-3.9656859911999174,True,Class2_opposite,3.9656859911999174
ENSG00000165078,CPA6,3,0,1,3.227915619676505,False,Class2_opposite,3.227915619676505
ENSG00000132975,GPR12,3,0,0,-3.037636984019578,False,Class2_opposite,3.037636984019578
ENSG00000161031,PGLYRP2,3,0,0,2.956903220995975,False,Class2_opposite,2.956903220995975
ENSG00000285587,LOC107984273,3,0,0,2.530560906648172,False,Class2_opposite,2.530560906648172
ENSG00000170743,SYT9,3,0,0,2.277542979594127,False,Class2_opposite,2.277542979594127
ENSG00000204434,POTEKP,3,0,0,2.2709121436192743,False,Class2_opposite,2.2709121436192743
ENSG00000196834,POTEI,3,0,1,2.264038483636831,False,Class2_opposite,2.264038483636831
ENSG00000180777,ANKRD30B,3,0,1,2.1943141022532515,False,Class2_opposite,2.1943141022532515
ENSG00000270930,GRAMD4P8,3,0,0,2.185234738179249,False,Class2_opposite,2.185234738179249
ENSG00000233725,NRAD1,3,0,2,-2.082242127517311,False,Class2_opposite,2.082242127517311
ENSG00000224577,LINC01117,3,0,2,2.0485604907927524,False,Class2_opposite,2.0485604907927524
ENSG00000249661,TNRC18P1,3,0,0,2.029677046496751,False,Class2_opposite,2.029677046496751
ENSG00000186910,SERPINA11,3,0,2,1.9631279639284915,False,Class2_opposite,1.9631279639284915
ENSG00000151892,GFRA1,3,1,1,1.9451219072322088,False,Class2_opposite,1.9451219072322088
ENSG00000232400,RAD17P1,3,0,0,1.9218277115392384,False,Class2_opposite,1.9218277115392384
ENSG00000213130,EEF1DP5,3,0,0,-1.8795170233376923,False,Class2_opposite,1.8795170233376923
ENSG00000166006,KCNC2,3,0,1,1.8133142265746791,False,Class2_opposite,1.8133142265746791
ENSG00000170959,DCDC1,3,0,0,1.8050441101231582,False,Class2_opposite,1.8050441101231582
ENSG00000126562,WNK4,3,0,0,1.6620648866000285,False,Class2_opposite,1.6620648866000285
ENSG00000136883,KIF12,3,0,2,1.4030676787034633,False,Class2_opposite,1.4030676787034633
ENSG00000257271,KIRREL3-AS1,3,0,0,-1.2650741150668232,False,Class2_opposite,1.2650741150668232
ENSG00000229544,NKX1-2,3,0,0,-1.261533918262296,False,Class2_opposite,1.261533918262296
ENSG00000280081,LINC01667,3,0,0,-1.248226834376597,False,Class2_opposite,1.248226834376597
ENSG00000139865,TTC6,3,0,1,1.1470876023177146,False,Class2_opposite,1.1470876023177146
ENSG00000203685,STUM,3,0,0,1.0231829801809533,False,Class2_opposite,1.0231829801809533
