gene_id,symbol,tier,er_hits,bc_hits,log2FC,scored,class
ENSG00000167531,LALBA,2,0,11,-11.951125597408463,True,Class1_same
ENSG00000196228,SULT1C3,3,0,0,-8.650985974050489,True,Class3_ERpos_only
ENSG00000164287,CDC20B,2,1,3,8.124256579694839,True,Class3_ERpos_only
ENSG00000101441,CST4,3,0,1,7.968139915609285,True,Class1_same
ENSG00000253802,SIRLNT,2,0,4,7.244747144569891,True,Class3_ERpos_only
ENSG00000170367,CST5,3,1,2,7.132502359214065,True,Class3_ERpos_only
ENSG00000123500,COL10A1,1,3,32,7.108408422330106,True,Class1_same
ENSG00000259527,LINC00052,2,1,11,6.951612903786583,True,Class3_ERpos_only
ENSG00000029559,IBSP,1,13,126,6.744760845151474,True,Class1_same
ENSG00000141668,CBLN2,3,0,0,6.709051816414888,True,Class3_ERpos_only
ENSG00000170373,CST1,2,2,11,6.695555571893778,True,Class1_same
ENSG00000243064,ABCC13,3,0,1,6.640520334585196,True,Class3_ERpos_only
ENSG00000223808,,3,0,0,6.574235660322955,True,Class3_ERpos_only
ENSG00000171209,CSN3,2,1,12,-6.511167940668541,True,Class3_ERpos_only
ENSG00000126545,CSN1S1,2,2,24,-6.493225820539285,True,Class1_same
ENSG00000034971,MYOC,2,0,8,-6.336119780904994,True,Class1_same
ENSG00000249082,EPIST,3,0,2,6.320434991101995,True,Class1_same
ENSG00000099953,MMP11,1,10,131,6.310689340867607,True,Class1_same
ENSG00000139352,ASCL1,2,2,12,6.193090375801057,True,Class3_ERpos_only
ENSG00000170419,VSTM2A,3,0,0,6.047947486111755,True,Class3_ERpos_only
ENSG00000237442,HNRNPA1P57,3,0,0,6.019125519788412,True,Class3_ERpos_only
ENSG00000060718,COL11A1,1,5,45,6.009184964312273,True,Class1_same
ENSG00000196611,MMP1,1,23,358,5.9660565963663545,True,Class1_same
ENSG00000204710,SPDYC,2,0,4,5.913726919939114,True,Class1_same
ENSG00000137745,MMP13,1,8,158,5.829013915312559,True,Class1_same
ENSG00000232679,LINC02257,3,0,0,5.776327465360977,True,Class1_same
ENSG00000159184,HOXB13,1,19,59,5.748300691072019,True,Class1_same
ENSG00000235123,DSCAM-AS1,1,12,35,5.648433463565668,True,Class3_ERpos_only
ENSG00000134548,SPX,2,0,3,-5.578017935923728,True,Class1_same
ENSG00000083782,EPYC,3,0,1,5.561744247782203,True,Class1_same
ENSG00000230838,LINC01614,2,2,8,5.457287324995085,True,Class1_same
ENSG00000131686,CA6,2,0,6,-5.385536063387994,True,Class3_ERpos_only
ENSG00000124493,GRM4,2,0,6,5.368397985135326,True,Class1_same
ENSG00000129654,FOXJ1,2,0,10,5.363986885876376,True,Class3_ERpos_only
