,class
ENSG00000000003,none
ENSG00000000005,Class1_same
ENSG00000000419,none
ENSG00000000457,none
ENSG00000000460,Class1_same
ENSG00000000938,none
ENSG00000000971,Class1_same
ENSG00000001036,none
ENSG00000001084,none
ENSG00000001167,none
ENSG00000001460,none
ENSG00000001461,none
ENSG00000001497,none
ENSG00000001561,none
ENSG00000001617,Class3_ERpos_only
ENSG00000001626,Class3_ERpos_only
ENSG00000001629,none
ENSG00000001630,none
ENSG00000001631,none
ENSG00000002016,none
ENSG00000002330,none
ENSG00000002549,none
ENSG00000002586,none
ENSG00000002587,none
ENSG00000002726,Class1_same
ENSG00000002746,Class3_ERpos_only
ENSG00000002834,none
ENSG00000002919,none
ENSG00000002933,none
ENSG00000003056,none
ENSG00000003096,Class1_same
ENSG00000003137,Class3_ERpos_only
ENSG00000003147,none
ENSG00000003249,Class1_same
ENSG00000003393,none
ENSG00000003400,none
ENSG00000003402,none
ENSG00000003436,Class1_same
ENSG00000003509,none
ENSG00000003756,none
ENSG00000003987,none
ENSG00000003989,Class4_ERneg_only
ENSG00000004059,none
ENSG00000004139,none
ENSG00000004142,none
ENSG00000004399,none
ENSG00000004455,none
ENSG00000004468,Class4_ERneg_only
ENSG00000004478,Class3_ERpos_only
ENSG00000004487,none
ENSG00000004534,none
ENSG00000004660,none
ENSG00000004700,none
ENSG00000004766,none
ENSG00000004776,Class1_same
ENSG00000004777,none
ENSG00000004779,none
ENSG00000004799,Class1_same
ENSG00000004838,Class3_ERpos_only
ENSG00000004846,Class1_same
ENSG00000004848,none
ENSG00000004864,none
ENSG00000004866,none
ENSG00000004897,none
ENSG00000004948,Class1_same
ENSG00000004961,none
ENSG00000004975,none
ENSG00000005001,Class1_same
ENSG00000005007,none
ENSG00000005020,Class3_ERpos_only
ENSG00000005022,none
ENSG00000005059,none
ENSG00000005073,none
ENSG00000005075,none
ENSG00000005100,none
ENSG00000005102,Class1_same
ENSG00000005108,Class4_ERneg_only
ENSG00000005156,none
ENSG00000005175,none
ENSG00000005187,Class3_ERpos_only
ENSG00000005189,none
ENSG00000005194,none
ENSG00000005206,none
ENSG00000005238,none
ENSG00000005243,none
ENSG00000005249,Class1_same
ENSG00000005302,none
ENSG00000005339,none
ENSG00000005379,none
ENSG00000005436,none
ENSG00000005448,Class3_ERpos_only
ENSG00000005469,none
ENSG00000005471,none
ENSG00000005483,none
ENSG00000005486,none
ENSG00000005513,Class3_ERpos_only
ENSG00000005700,none
ENSG00000005801,none
ENSG00000005810,Class3_ERpos_only
ENSG00000005812,none
ENSG00000005844,none
ENSG00000005882,Class4_ERneg_only
ENSG00000005884,none
ENSG00000005889,none
ENSG00000005893,none
ENSG00000005961,none
ENSG00000005981,Class1_same
ENSG00000006007,none
ENSG00000006015,none
ENSG00000006016,none
ENSG00000006025,none
ENSG00000006042,none
ENSG00000006047,none
ENSG00000006062,none
ENSG00000006071,Class4_ERneg_only
ENSG00000006118,Class1_same
ENSG00000006125,none
ENSG00000006128,Class1_same
ENSG00000006194,none
ENSG00000006210,Class1_same
ENSG00000006282,none
ENSG00000006283,Class1_same
ENSG00000006327,Class4_ERneg_only
ENSG00000006377,Class4_ERneg_only
ENSG00000006432,none
ENSG00000006451,none
ENSG00000006453,Class4_ERneg_only
ENSG00000006459,none
ENSG00000006468,Class1_same
ENSG00000006530,none
ENSG00000006534,none
ENSG00000006555,none
ENSG00000006576,none
ENSG00000006607,none
ENSG00000006625,Class1_same
ENSG00000006634,Class4_ERneg_only
ENSG00000006638,none
ENSG00000006652,none
ENSG00000006695,none
ENSG00000006704,Class1_same
ENSG00000006712,none
ENSG00000006715,none
ENSG00000006740,none
ENSG00000006744,none
ENSG00000006747,none
ENSG00000006756,none
ENSG00000006757,none
ENSG00000006831,none
ENSG00000007038,none
ENSG00000007047,none
ENSG00000007062,Class3_ERpos_only
ENSG00000007080,Class4_ERneg_only
ENSG00000007129,none
ENSG00000007168,none
ENSG00000007171,none
ENSG00000007174,Class4_ERneg_only
ENSG00000007202,none
ENSG00000007216,Class1_same
ENSG00000007237,Class4_ERneg_only
ENSG00000007255,none
ENSG00000007264,none
ENSG00000007306,none
ENSG00000007312,none
ENSG00000007314,Class1_same
ENSG00000007341,none
ENSG00000007372,Class4_ERneg_only
ENSG00000007376,Class1_same
ENSG00000007384,none
ENSG00000007392,none
ENSG00000007402,none
ENSG00000007516,none
ENSG00000007520,none
ENSG00000007541,Class3_ERpos_only
ENSG00000007545,none
ENSG00000007866,none
ENSG00000007908,none
ENSG00000007923,none
ENSG00000007933,Class3_ERpos_only
ENSG00000007944,none
ENSG00000007952,none
ENSG00000007968,Class1_same
ENSG00000008018,none
ENSG00000008056,none
ENSG00000008083,none
ENSG00000008086,none
ENSG00000008128,none
ENSG00000008130,none
ENSG00000008196,none
ENSG00000008226,none
ENSG00000008256,none
ENSG00000008277,Class4_ERneg_only
ENSG00000008282,none
ENSG00000008283,Class3_ERpos_only
ENSG00000008294,none
ENSG00000008300,Class1_same
ENSG00000008311,Class1_same
ENSG00000008323,none
ENSG00000008324,none
ENSG00000008382,none
ENSG00000008394,none
ENSG00000008405,none
ENSG00000008441,Class3_ERpos_only
ENSG00000008513,none
ENSG00000008516,none
ENSG00000008517,Class4_ERneg_only
ENSG00000008710,none
ENSG00000008735,Class1_same
ENSG00000008838,none
ENSG00000008853,none
ENSG00000008869,none
ENSG00000008952,none
ENSG00000008988,none
ENSG00000009307,none
ENSG00000009335,none
ENSG00000009413,none
ENSG00000009694,Class3_ERpos_only
ENSG00000009709,Class1_same
ENSG00000009724,Class1_same
ENSG00000009765,Class3_ERpos_only
ENSG00000009780,none
ENSG00000009790,Class4_ERneg_only
ENSG00000009830,none
ENSG00000009844,none
ENSG00000009950,Class1_same
ENSG00000009954,none
ENSG00000010017,none
ENSG00000010030,Class1_same
ENSG00000010072,none
ENSG00000010165,none
ENSG00000010219,none
ENSG00000010244,none
ENSG00000010256,none
ENSG00000010270,none
ENSG00000010278,none
ENSG00000010292,Class4_ERneg_only
ENSG00000010295,none
ENSG00000010310,none
ENSG00000010318,none
ENSG00000010319,Class1_same
ENSG00000010322,none
ENSG00000010327,none
ENSG00000010361,none
ENSG00000010404,none
ENSG00000010539,none
ENSG00000010610,none
ENSG00000010626,none
ENSG00000010671,none
ENSG00000010704,none
ENSG00000010803,none
ENSG00000010810,none
ENSG00000010818,none
ENSG00000010932,none
ENSG00000011007,none
ENSG00000011009,Class4_ERneg_only
ENSG00000011021,Class4_ERneg_only
ENSG00000011028,none
ENSG00000011105,none
ENSG00000011114,none
ENSG00000011132,none
ENSG00000011143,none
ENSG00000011198,none
ENSG00000011201,none
ENSG00000011243,none
ENSG00000011258,none
ENSG00000011260,none
ENSG00000011275,none
ENSG00000011295,none
ENSG00000011304,none
ENSG00000011332,Class1_same
ENSG00000011347,none
ENSG00000011376,none
ENSG00000011405,none
ENSG00000011422,Class1_same
ENSG00000011426,Class1_same
ENSG00000011451,none
ENSG00000011454,none
ENSG00000011465,Class1_same
ENSG00000011478,none
ENSG00000011485,none
ENSG00000011523,Class1_same
ENSG00000011566,none
ENSG00000011590,Class4_ERneg_only
ENSG00000011600,Class4_ERneg_only
ENSG00000011638,none
ENSG00000012048,none
ENSG00000012061,none
ENSG00000012124,none
ENSG00000012171,Class4_ERneg_only
ENSG00000012174,none
ENSG00000012211,none
ENSG00000012223,none
ENSG00000012232,none
ENSG00000012660,none
ENSG00000012779,none
ENSG00000012822,Class4_ERneg_only
ENSG00000012963,none
ENSG00000012983,none
ENSG00000013016,none
ENSG00000013275,Class4_ERneg_only
ENSG00000013288,none
ENSG00000013297,Class1_same
ENSG00000013306,Class1_same
ENSG00000013364,none
ENSG00000013374,none
ENSG00000013375,none
ENSG00000013392,none
ENSG00000013441,none
ENSG00000013503,none
ENSG00000013523,none
ENSG00000013561,none
ENSG00000013563,none
ENSG00000013573,Class4_ERneg_only
ENSG00000013583,none
ENSG00000013588,Class3_ERpos_only
ENSG00000013619,none
ENSG00000013725,Class4_ERneg_only
ENSG00000013810,Class1_same
ENSG00000014123,none
ENSG00000014138,Class1_same
ENSG00000014164,Class1_same
ENSG00000014216,none
ENSG00000014257,none
ENSG00000014641,none
ENSG00000014824,none
ENSG00000014914,none
ENSG00000014919,none
ENSG00000015133,none
ENSG00000015153,none
ENSG00000015171,none
ENSG00000015285,Class4_ERneg_only
ENSG00000015413,Class1_same
ENSG00000015475,none
ENSG00000015479,none
ENSG00000015520,none
ENSG00000015532,none
ENSG00000015676,none
ENSG00000016391,none
ENSG00000016402,Class4_ERneg_only
